,Density,Trajectory,Discovered Shortest Path,Final Shortest Path,Processed Cells,Trial,Length of Trajectory / Length of Shortest Path in Final Discovered Gridworld,Length of Shortest Path in Final Discovered Gridworld / Length of Shortest Path in Full Gridworld,Trajectory / Shortest Path (Disc.),Shortest Path (Disc.) / Shortest Path (Full),Shortest Path (Disc.) / Shortest Path (Final)
0,0.0,201.0,201.0,201.0,10201.0,50.5,1.0,1.0,1.0,1.0,1.0
1,0.03,207.62,203.64,201.0,27523.15,50.5,1.0195442938518955,1.0131343283582088,1.02,1.013,1.013
2,0.06,215.88,207.48,201.0,44576.66,50.5,1.040485829959514,1.0322388059701493,1.04,1.032,1.032
3,0.09,222.88,210.36,201.0,60880.75,50.5,1.059517018444571,1.0465671641791046,1.06,1.047,1.047
4,0.12,234.22,214.94,201.0,75715.5,50.5,1.089699451009584,1.0693532338308458,1.09,1.069,1.069
5,0.15,248.96,219.9,201.0,97043.78,50.5,1.1321509777171441,1.0940298507462687,1.132,1.094,1.094
6,0.18,258.86,222.62,201.0,125732.01,50.5,1.1627886083909802,1.1075621890547265,1.163,1.108,1.108
7,0.21,278.12,228.54,201.04,150436.57,50.5,1.216942329570316,1.1367886987664146,1.217,1.137,1.137
8,0.24,303.2,233.54,201.18,182131.19,50.5,1.2982786674659588,1.1608509792225867,1.298,1.161,1.161
9,0.27,334.38,241.14,201.62,216101.28,50.5,1.3866633490918139,1.1960123003670269,1.387,1.196,1.196
10,0.3,386.94,252.18,203.92,278043.43,50.5,1.5343802046157506,1.236661435857199,1.534,1.237,1.237
11,0.32999999999999996,458.04,260.0,210.0,353557.03,50.5,1.7616923076923077,1.2380952380952381,1.762,1.238,1.238
