,Density,Trajectory,Discovered Shortest Path,Final Shortest Path,Processed Cells,Trial
0,0.0,201,201,201,10201,1
0,0.03,207,207,201,19242,1
0,0.06,215,213,201,33998,1
0,0.09,225,213,201,107470,1
0,0.12,239,227,201,43013,1
0,0.15,251,229,201,222091,1
0,0.18,245,227,201,153275,1
0,0.21,271,235,201,204140,1
0,0.24,339,281,201,280295,1
0,0.27,311,269,201,193150,1
0,0.3,403,277,201,329105,1
0,0.32999999999999996,469,259,213,619945,1
0,0.0,201,201,201,10201,2
0,0.03,211,211,201,18629,2
0,0.06,215,211,201,35392,2
0,0.09,217,211,201,109354,2
0,0.12,229,219,201,119569,2
0,0.15,225,219,201,160300,2
0,0.18,291,249,201,160417,2
0,0.21,261,217,201,306690,2
0,0.24,275,251,201,124153,2
0,0.27,355,253,201,388855,2
0,0.3,435,253,207,393517,2
0,0.32999999999999996,353,257,203,492268,2
0,0.0,201,201,201,10201,3
0,0.03,205,205,201,58681,3
0,0.06,227,213,201,76085,3
0,0.09,227,221,201,27556,3
0,0.12,223,217,201,43614,3
0,0.15,261,237,201,159604,3
0,0.18,287,249,201,158218,3
0,0.21,267,233,201,201250,3
0,0.24,287,219,201,370305,3
0,0.27,303,247,201,202220,3
0,0.3,541,303,205,533566,3
0,0.32999999999999996,377,265,211,515598,3
0,0.0,201,201,201,10201,4
0,0.03,211,209,201,36371,4
0,0.06,215,215,201,25996,4
0,0.09,219,213,201,43322,4
0,0.12,257,229,201,174588,4
0,0.15,235,223,201,111184,4
0,0.18,241,215,201,152180,4
0,0.21,299,249,201,145073,4
0,0.24,255,215,201,230195,4
0,0.27,369,249,201,446981,4
0,0.3,411,269,203,326565,4
0,0.32999999999999996,331,243,203,341469,4
0,0.0,201,201,201,10201,5
0,0.03,207,205,201,26614,5
0,0.06,237,227,201,65279,5
0,0.09,235,215,201,103395,5
0,0.12,233,223,201,94397,5
0,0.15,237,225,201,112619,5
0,0.18,279,241,201,200867,5
0,0.21,327,241,201,172136,5
0,0.24,267,237,201,178898,5
0,0.27,367,255,205,418771,5
0,0.3,347,257,207,247133,5
0,0.32999999999999996,529,317,201,553321,5
0,0.0,201,201,201,10201,6
0,0.03,203,203,201,17381,6
0,0.06,223,215,201,49246,6
0,0.09,217,207,201,105752,6
0,0.12,215,213,201,47264,6
0,0.15,257,241,201,53308,6
0,0.18,265,231,201,158348,6
0,0.21,273,239,201,213065,6
0,0.24,255,217,201,196532,6
0,0.27,331,241,201,279814,6
0,0.3,443,249,207,399922,6
0,0.32999999999999996,397,287,209,360776,6
0,0.0,201,201,201,10201,7
0,0.03,207,207,201,19857,7
0,0.06,217,211,201,25441,7
0,0.09,221,213,201,37965,7
0,0.12,229,219,201,77679,7
0,0.15,251,225,201,141580,7
0,0.18,279,231,201,119685,7
0,0.21,307,259,201,157073,7
0,0.24,315,249,201,370595,7
0,0.27,379,289,203,300627,7
0,0.3,335,241,205,274560,7
0,0.32999999999999996,393,251,207,343789,7
0,0.0,201,201,201,10201,8
0,0.03,211,211,201,33574,8
0,0.06,213,209,201,48645,8
0,0.09,217,213,201,88545,8
0,0.12,235,221,201,94512,8
0,0.15,245,227,201,114017,8
0,0.18,269,237,201,207279,8
0,0.21,277,227,201,136046,8
0,0.24,397,297,201,384932,8
0,0.27,323,263,201,302173,8
0,0.3,369,277,205,386847,8
0,0.32999999999999996,525,301,205,533255,8
0,0.0,201,201,201,10201,9
0,0.03,211,207,201,28734,9
0,0.06,207,207,201,78838,9
0,0.09,219,219,201,40385,9
0,0.12,223,213,201,79265,9
0,0.15,243,221,201,144597,9
0,0.18,261,233,201,151824,9
0,0.21,273,241,201,134879,9
0,0.24,345,263,203,273462,9
0,0.27,303,243,201,281888,9
0,0.3,307,253,201,289083,9
0,0.32999999999999996,463,325,205,407814,9
0,0.0,201,201,201,10201,10
0,0.03,203,203,201,15536,10
0,0.06,213,211,201,64722,10
0,0.09,225,219,201,90287,10
0,0.12,243,221,201,99824,10
0,0.15,257,235,201,134870,10
0,0.18,257,235,201,145016,10
0,0.21,267,237,201,230628,10
0,0.24,257,231,201,135694,10
0,0.27,295,233,201,347443,10
0,0.3,335,249,201,393811,10
0,0.32999999999999996,505,293,213,569186,10
0,0.0,201,201,201,10201,11
0,0.03,207,207,201,27707,11
0,0.06,215,209,201,34814,11
0,0.09,221,217,201,60832,11
0,0.12,255,235,201,103036,11
0,0.15,273,235,201,180177,11
0,0.18,271,235,201,241971,11
0,0.21,297,243,201,239036,11
0,0.24,287,243,201,181920,11
0,0.27,293,239,203,394656,11
0,0.3,279,231,201,294002,11
0,0.32999999999999996,405,267,211,272372,11
0,0.0,201,201,201,10201,12
0,0.03,203,203,201,37947,12
0,0.06,211,209,201,35583,12
0,0.09,227,221,201,45576,12
0,0.12,233,223,201,75602,12
0,0.15,259,235,201,141095,12
0,0.18,241,225,201,87807,12
0,0.21,287,241,201,175861,12
0,0.24,263,227,201,353515,12
0,0.27,301,231,201,294512,12
0,0.3,359,261,203,442429,12
0,0.32999999999999996,409,277,213,418322,12
0,0.0,201,201,201,10201,13
0,0.03,207,207,201,20960,13
0,0.06,205,205,201,45433,13
0,0.09,215,213,201,51621,13
0,0.12,235,227,201,101458,13
0,0.15,281,233,201,101360,13
0,0.18,239,227,201,108116,13
0,0.21,269,241,201,108300,13
0,0.24,273,237,201,244005,13
0,0.27,391,277,201,220050,13
0,0.3,435,263,203,355785,13
0,0.32999999999999996,629,311,207,552787,13
0,0.0,201,201,201,10201,14
0,0.03,205,205,201,29281,14
0,0.06,225,219,201,14274,14
0,0.09,225,221,201,59296,14
0,0.12,233,225,201,101886,14
0,0.15,265,231,201,144557,14
0,0.18,247,229,201,141658,14
0,0.21,279,251,201,144226,14
0,0.24,301,243,201,230977,14
0,0.27,285,233,201,190334,14
0,0.3,405,267,203,479256,14
0,0.32999999999999996,357,247,203,408990,14
0,0.0,201,201,201,10201,15
0,0.03,209,209,201,18061,15
0,0.06,221,215,201,59735,15
0,0.09,221,213,201,59553,15
0,0.12,245,235,201,97268,15
0,0.15,245,221,201,197214,15
0,0.18,287,253,201,117807,15
0,0.21,301,245,201,146497,15
0,0.24,377,263,201,162603,15
0,0.27,297,247,201,338263,15
0,0.3,329,243,207,268897,15
0,0.32999999999999996,495,253,203,480602,15
0,0.0,201,201,201,10201,16
0,0.03,209,207,201,17736,16
0,0.06,205,205,201,37283,16
0,0.09,235,223,201,60201,16
0,0.12,223,217,201,66443,16
0,0.15,253,237,201,100060,16
0,0.18,279,239,201,97718,16
0,0.21,271,223,201,126505,16
0,0.24,331,275,201,194237,16
0,0.27,361,275,201,268207,16
0,0.3,379,265,205,465865,16
0,0.32999999999999996,519,303,219,822006,16
0,0.0,201,201,201,10201,17
0,0.03,209,207,201,21596,17
0,0.06,215,213,201,36613,17
0,0.09,227,223,201,46355,17
0,0.12,237,219,201,86547,17
0,0.15,251,227,201,106036,17
0,0.18,303,247,201,176934,17
0,0.21,291,245,203,214403,17
0,0.24,335,263,201,314526,17
0,0.27,311,243,201,376850,17
0,0.3,401,267,203,448886,17
0,0.32999999999999996,387,257,207,517708,17
0,0.0,201,201,201,10201,18
0,0.03,203,203,201,36533,18
0,0.06,217,213,201,26532,18
0,0.09,223,221,201,81175,18
0,0.12,229,223,201,55267,18
0,0.15,241,231,201,134236,18
0,0.18,249,231,201,98580,18
0,0.21,259,223,201,195190,18
0,0.24,385,263,201,272414,18
0,0.27,299,231,201,205468,18
0,0.3,331,261,201,201790,18
0,0.32999999999999996,413,261,201,387018,18
0,0.0,201,201,201,10201,19
0,0.03,209,209,201,10553,19
0,0.06,225,223,201,47202,19
0,0.09,233,225,201,64964,19
0,0.12,229,223,201,88638,19
0,0.15,255,235,201,77891,19
0,0.18,245,227,201,133017,19
0,0.21,263,245,201,139471,19
0,0.24,277,243,201,182050,19
0,0.27,391,289,207,363280,19
0,0.3,431,281,205,301752,19
0,0.32999999999999996,545,297,231,554059,19
0,0.0,201,201,201,10201,20
0,0.03,205,205,201,26660,20
0,0.06,209,207,201,41366,20
0,0.09,235,223,201,63489,20
0,0.12,231,219,201,103089,20
0,0.15,259,231,201,99815,20
0,0.18,241,221,201,102419,20
0,0.21,281,237,201,201465,20
0,0.24,273,237,201,197430,20
0,0.27,281,249,201,244739,20
0,0.3,317,243,201,302608,20
0,0.32999999999999996,481,295,203,354701,20
0,0.0,201,201,201,10201,21
0,0.03,205,205,201,10321,21
0,0.06,209,209,201,13194,21
0,0.09,223,215,201,46294,21
0,0.12,221,217,201,89879,21
0,0.15,269,241,201,166119,21
0,0.18,247,225,201,154081,21
0,0.21,293,259,201,133058,21
0,0.24,305,259,201,286129,21
0,0.27,291,237,201,231361,21
0,0.3,535,305,201,421248,21
0,0.32999999999999996,565,353,219,902256,21
0,0.0,201,201,201,10201,22
0,0.03,203,203,201,17130,22
0,0.06,223,221,201,58974,22
0,0.09,223,213,201,111784,22
0,0.12,245,219,201,151136,22
0,0.15,239,223,201,84099,22
0,0.18,263,227,201,94201,22
0,0.21,281,231,201,216906,22
0,0.24,319,245,201,196844,22
0,0.27,283,231,201,259975,22
0,0.3,473,313,207,433943,22
0,0.32999999999999996,385,259,207,482033,22
0,0.0,201,201,201,10201,23
0,0.03,209,209,201,14352,23
0,0.06,207,205,201,39396,23
0,0.09,233,223,201,81273,23
0,0.12,245,225,201,117760,23
0,0.15,221,211,201,152513,23
0,0.18,233,219,201,98893,23
0,0.21,295,245,201,138535,23
0,0.24,305,243,203,389831,23
0,0.27,347,257,205,397115,23
0,0.3,425,257,205,458958,23
0,0.32999999999999996,407,267,207,503777,23
0,0.0,201,201,201,10201,24
0,0.03,213,211,201,45650,24
0,0.06,213,211,201,48952,24
0,0.09,221,219,201,68469,24
0,0.12,225,213,201,144499,24
0,0.15,247,225,201,123531,24
0,0.18,279,249,201,134080,24
0,0.21,327,251,201,219958,24
0,0.24,301,241,201,227431,24
0,0.27,333,257,201,267095,24
0,0.3,373,269,205,482735,24
0,0.32999999999999996,375,251,225,683660,24
0,0.0,201,201,201,10201,25
0,0.03,211,211,201,12222,25
0,0.06,211,209,201,63069,25
0,0.09,235,225,201,81021,25
0,0.12,223,209,201,121026,25
0,0.15,237,219,201,164099,25
0,0.18,245,223,201,203250,25
0,0.21,275,233,201,210557,25
0,0.24,287,253,201,168083,25
0,0.27,337,255,205,323672,25
0,0.3,405,257,205,393185,25
0,0.32999999999999996,629,335,229,678344,25
0,0.0,201,201,201,10201,26
0,0.03,207,207,201,35131,26
0,0.06,223,219,201,26747,26
0,0.09,229,219,201,61651,26
0,0.12,227,221,201,98718,26
0,0.15,233,223,201,85762,26
0,0.18,239,219,201,142248,26
0,0.21,303,239,201,155433,26
0,0.24,333,253,201,298742,26
0,0.27,353,269,205,260501,26
0,0.3,341,247,203,405683,26
0,0.32999999999999996,345,233,205,432884,26
0,0.0,201,201,201,10201,27
0,0.03,207,207,201,41595,27
0,0.06,221,219,201,44184,27
0,0.09,223,219,201,51823,27
0,0.12,261,235,201,175048,27
0,0.15,265,227,201,152268,27
0,0.18,233,217,201,125716,27
0,0.21,289,245,201,229338,27
0,0.24,309,239,201,189512,27
0,0.27,341,247,203,174735,27
0,0.3,369,275,205,374642,27
0,0.32999999999999996,413,253,207,365389,27
0,0.0,201,201,201,10201,28
0,0.03,215,213,201,10721,28
0,0.06,207,205,201,66569,28
0,0.09,215,211,201,108939,28
0,0.12,227,217,201,89521,28
0,0.15,241,229,201,130765,28
0,0.18,229,221,201,88772,28
0,0.21,267,247,201,90418,28
0,0.24,295,241,203,370207,28
0,0.27,257,213,201,338538,28
0,0.3,343,245,205,334989,28
0,0.32999999999999996,669,331,229,636294,28
0,0.0,201,201,201,10201,29
0,0.03,211,207,201,47436,29
0,0.06,231,223,201,51786,29
0,0.09,219,211,201,62925,29
0,0.12,221,215,201,114105,29
0,0.15,245,235,201,120080,29
0,0.18,239,223,201,129149,29
0,0.21,333,251,201,347212,29
0,0.24,319,261,201,288871,29
0,0.27,405,269,203,286704,29
0,0.3,311,237,203,475468,29
0,0.32999999999999996,359,265,205,422427,29
0,0.0,201,201,201,10201,30
0,0.03,209,207,201,28492,30
0,0.06,221,213,201,67828,30
0,0.09,233,219,201,62915,30
0,0.12,239,225,201,103715,30
0,0.15,245,229,201,149927,30
0,0.18,267,237,201,97983,30
0,0.21,301,249,201,174078,30
0,0.24,333,241,201,268811,30
0,0.27,305,247,201,248125,30
0,0.3,477,247,201,493925,30
0,0.32999999999999996,557,341,219,356919,30
0,0.0,201,201,201,10201,31
0,0.03,209,209,201,16184,31
0,0.06,209,209,201,44199,31
0,0.09,213,211,201,90198,31
0,0.12,253,235,201,84087,31
