,Time,Heuristic,Density,Trajectory
0,0.19491219520568848,Chebyshev,0.0,201
0,0.5580358505249023,Manhattan,0.0,201
0,0.4763822555541992,Euclidian,0.0,201
0,0.013791084289550781,Weighted Manhattan,0.0,201
0,0.014866828918457031,Combined Chebyshev Manhattan,0.0,201
0,0.01597905158996582,Combined Chebyshev Euclidian,0.0,201
0,0.01707005500793457,Combined Manhattan Euclidian,0.0,201
0,4.06791877746582,Chebyshev,0.1,203
0,0.8417379856109619,Manhattan,0.1,253
0,2.219655752182007,Euclidian,0.1,203
0,0.04384899139404297,Weighted Manhattan,0.1,253
0,0.09124398231506348,Combined Chebyshev Manhattan,0.1,203
0,0.17834687232971191,Combined Chebyshev Euclidian,0.1,203
0,0.28080201148986816,Combined Manhattan Euclidian,0.1,203
0,5.378049850463867,Chebyshev,0.2,207
0,2.6907927989959717,Manhattan,0.2,259
0,3.755052089691162,Euclidian,0.2,207
0,0.09393000602722168,Weighted Manhattan,0.2,259
0,0.10358715057373047,Combined Chebyshev Manhattan,0.2,207
0,0.1221320629119873,Combined Chebyshev Euclidian,0.2,207
0,0.11999702453613281,Combined Manhattan Euclidian,0.2,207
0,9.310111999511719,Chebyshev,0.30000000000000004,299
0,6.94672703742981,Manhattan,0.30000000000000004,583
0,8.16049313545227,Euclidian,0.30000000000000004,299
0,0.4100968837738037,Weighted Manhattan,0.30000000000000004,637
0,0.23380589485168457,Combined Chebyshev Manhattan,0.30000000000000004,305
0,0.26561403274536133,Combined Chebyshev Euclidian,0.30000000000000004,305
0,0.2772672176361084,Combined Manhattan Euclidian,0.30000000000000004,305
0,0.1890552043914795,Chebyshev,0.0,201
0,0.17373275756835938,Manhattan,0.0,201
0,0.2270967960357666,Euclidian,0.0,201
0,0.007302284240722656,Weighted Manhattan,0.0,201
0,0.012289047241210938,Combined Chebyshev Manhattan,0.0,201
0,0.012331962585449219,Combined Chebyshev Euclidian,0.0,201
0,0.00797891616821289,Combined Manhattan Euclidian,0.0,201
0,2.4907970428466797,Chebyshev,0.1,203
0,2.0065979957580566,Manhattan,0.1,241
0,2.7008588314056396,Euclidian,0.1,203
0,0.09794473648071289,Weighted Manhattan,0.1,241
0,0.07380485534667969,Combined Chebyshev Manhattan,0.1,203
0,0.09293103218078613,Combined Chebyshev Euclidian,0.1,203
0,0.09214496612548828,Combined Manhattan Euclidian,0.1,203
0,4.256724119186401,Chebyshev,0.2,219
0,2.433043956756592,Manhattan,0.2,275
0,4.747079133987427,Euclidian,0.2,219
0,0.09712004661560059,Weighted Manhattan,0.2,275
0,0.133012056350708,Combined Chebyshev Manhattan,0.2,219
0,0.16109013557434082,Combined Chebyshev Euclidian,0.2,219
0,0.1607837677001953,Combined Manhattan Euclidian,0.2,219
0,8.74707818031311,Chebyshev,0.30000000000000004,299
0,4.204279899597168,Manhattan,0.30000000000000004,433
0,8.661269903182983,Euclidian,0.30000000000000004,299
0,0.18938422203063965,Weighted Manhattan,0.30000000000000004,433
0,0.2529027462005615,Combined Chebyshev Manhattan,0.30000000000000004,297
0,0.2822721004486084,Combined Chebyshev Euclidian,0.30000000000000004,297
0,0.28842711448669434,Combined Manhattan Euclidian,0.30000000000000004,297
0,0.20237016677856445,Chebyshev,0.0,201
0,0.17752313613891602,Manhattan,0.0,201
0,0.21265220642089844,Euclidian,0.0,201
0,0.005321979522705078,Weighted Manhattan,0.0,201
0,0.008491992950439453,Combined Chebyshev Manhattan,0.0,201
0,0.008040904998779297,Combined Chebyshev Euclidian,0.0,201
0,0.010020017623901367,Combined Manhattan Euclidian,0.0,201
0,1.5751891136169434,Chebyshev,0.1,203
0,0.6188092231750488,Manhattan,0.1,221
